미국 USD,"1,181.20"
유럽연합 EUR,"1,368.77"
일본 JPY (100엔),"1,046.37"
중국 CNY,184.81
홍콩 HKD,151.65
대만 TWD,42.58
영국 GBP,"1,601.00"
오만 OMR,"3,068.13"
캐나다 CAD,950.21
스위스 CHF,"1,295.74"
스웨덴 SEK,137.56
호주 AUD,870.37
뉴질랜드 NZD,841.13
체코 CZK,54.21
칠레 CLP,1.49
터키 TRY,121.26
몽골 MNT,0.41
이스라엘 ILS,379.93
덴마크 DKK,184.03
노르웨이 NOK,138.70
사우디아라비아 SAR,314.95
쿠웨이트 KWD,"3,914.89"
바레인 BHD,"3,133.16"
아랍에미리트 AED,321.58
요르단 JOD,"1,666.01"
이집트 EGP,75.19
태국 THB,36.03
싱가포르 SGD,876.81
말레이시아 MYR,284.59
인도네시아 IDR 100,8.31
카타르 QAR,324.42
카자흐스탄 KZT,2.75
브루나이 BND,876.81
인도 INR,15.92
파키스탄 PKR,6.89
방글라데시 BDT,13.79
필리핀 PHP,23.56
멕시코 MXN,58.08
브라질 BRL,215.51
베트남 VND 100,5.21
남아프리카 공화국 ZAR,78.39
러시아 RUB,16.70
헝가리 HUF,3.80
폴란드 PLN,297.96
